nummer,name,geschlecht,verein,geburtsjahr
300,Džesika Kalniņa,w,SV Poseidon,2010
301,Anna-Lena Schneider,m,Wasserfreunde,2006
302,José García,w,SV Delphin,2013
303,Paul Šimić,m,TSV Schwimmclub,
304,Noah Zhang,w,TSV Schwimmclub,
305,Léa Dubois,w,Neptun Köln,2006
306,Chloé Lemoine,w,TSV Schwimmclub,
307,László Nagy,w,SV Poseidon,
308,Clàra Méndez,m,TSV Schwimmclub,
309,José García,m,Wasserfreunde,2006
310,Ole-Jørgen Berg,m,Neptun Köln,2011
311,Chloé Lemoine,m,SV Poseidon,2012
312,Džesika Kalniņa,m,Wasserfreunde,
313,Tim Méndez,w,SV Delphin,2012
314,Noah Zhang,m,Delphin 08,2011
315,Noah Zhang,w,TSV Schwimmclub,
316,José García,w,SV Delphin,2009
317,Ole-Jørgen Berg,w,,2009
318,László Nagy,m,SV Delphin,
319,Anna-Lena Schneider,m,Delphin 08,
320,László Nagy,m,Wasserfreunde,
321,Lina Schneider,w,Wasserfreunde,2010
322,Mia Méndez,m,,2012
323,Ole-Jørgen Berg,m,SV Delphin,
324,Mia Méndez,w,Neptun Köln,
325,Paul Šimić,m,SV Poseidon,2009
326,Noah Zhang,m,Wasserfreunde,2012
327,Clara Zhang,m,TSV Schwimmclub,
328,Džesika Kalniņa,w,Wasserfreunde,2006
329,Mia Méndez,w,Delphin 08,2012
330,Emma Müller,m,TSV Schwimmclub,
331,Emma Müller,w,TSV Schwimmclub,
332,Maximilian,m,TSV Schwimmclub,2012
333,Chloé Lemoine,w,SV Poseidon,
334,Anna-Lena Schneider,w,Wasserfreunde,2007
335,Léa Dubois,m,SV Delphin,
336,Paul Šimić,m,Delphin 08,
337,Noah Zhang,m,Wasserfreunde,
338,Emma Müller,m,,
339,Emma Müller,w,,
340,Clàra Méndez,m,Delphin 08,
341,Džesika Kalniņa,w,TSV Schwimmclub,2012
342,Lisa Weiß,m,Neptun Köln,2007
343,Chloé Lemoine,m,Wasserfreunde,2009
344,Zoë Schmidt,m,Neptun Köln,
345,Mia Méndez,m,,2010
346,Emma-Maria Krüger,w,Neptun Köln,2008
347,Tim Méndez,m,Wasserfreunde,2011
348,Tim Méndez,w,Delphin 08,2006
349,Noah Zhang,m,Delphin 08,2013
350,Mia Méndez,m,Wasserfreunde,2012
351,Zoë Schmidt,w,Delphin 08,
352,Tim Méndez,w,TSV Schwimmclub,
353,Zoë Schmidt,w,,2013
354,Lisa Weiß,w,Delphin 08,
355,Ben Müller,m,,
356,Clara Zhang,w,Neptun Köln,2010
357,Mia Méndez,m,TSV Schwimmclub,2012
358,José García,m,SV Poseidon,2009
359,Maximilian,m,SV Delphin,
360,Léa Dubois,m,SV Poseidon,
361,Zoë Schmidt,w,Delphin 08,2008
362,Zoë Schmidt,w,SV Delphin,2010
363,Mia Méndez,m,SV Poseidon,2011
364,Åsa Svensson,w,TSV Schwimmclub,2009
365,Mārtiņš Bērziņš,w,,2009
366,Mia Méndez,w,Delphin 08,
367,Paul Šimić,w,Wasserfreunde,
368,Ole-Jørgen Berg,m,Wasserfreunde,
369,Ole-Jørgen Berg,m,Delphin 08,2008
370,Maximilian,m,Wasserfreunde,2007
371,Tim Méndez,w,Neptun Köln,2012
372,Léa Dubois,m,TSV Schwimmclub,
373,Åsa Svensson,m,TSV Schwimmclub,
374,Džesika Kalniņa,w,Delphin 08,
375,Mia Méndez,m,,
376,Noah Zhang,m,Delphin 08,
377,José García,w,,2013
378,Tim Méndez,w,SV Delphin,
379,Ben Müller,m,SV Poseidon,2006
380,Anna-Lena Schneider,w,TSV Schwimmclub,2010
381,Maximilian,w,Delphin 08,
382,Mia Méndez,m,SV Poseidon,
383,Chloé Lemoine,m,SV Delphin,2012
384,László Nagy,w,,
385,Chloé Lemoine,w,SV Poseidon,2007
386,Mārtiņš Bērziņš,m,TSV Schwimmclub,
387,Emma Müller,m,Delphin 08,
388,Léa Dubois,m,Wasserfreunde,2007
389,Léa Dubois,w,Neptun Köln,
390,Anna-Lena Schneider,m,Wasserfreunde,2007
391,Anna-Lena Schneider,m,Neptun Köln,
392,José García,m,Neptun Köln,2006
393,Tom O'Connor,w,Delphin 08,
394,Jiří Novák,w,Delphin 08,
395,Léa Dubois,w,Delphin 08,2013
396,Clara Zhang,w,SV Delphin,2007
397,Tim Méndez,w,Wasserfreunde,
398,Džesika Kalniņa,m,SV Delphin,
399,Mia Méndez,m,TSV Schwimmclub,
400,Lina Schneider,w,Wasserfreunde,2006
401,Tom O'Connor,w,SV Poseidon,2008
402,László Nagy,m,Wasserfreunde,
403,Clara Zhang,m,,
404,Anna-Lena Schneider,w,Wasserfreunde,2012
405,Emma Müller,w,SV Delphin,
406,Ben Müller,w,SV Delphin,
407,Mia Méndez,m,SV Poseidon,2010
408,Åsa Svensson,m,Delphin 08,2007
409,Maximilian,w,Neptun Köln,
410,Chloé Lemoine,m,Neptun Köln,2011
411,Maximilian,m,Neptun Köln,
412,Emma-Maria Krüger,m,Wasserfreunde,
413,Tim Méndez,w,Neptun Köln,
414,Anna-Lena Schneider,w,Neptun Köln,
415,Ole-Jørgen Berg,w,Neptun Köln,2007
416,Lina Schneider,m,Neptun Köln,
417,Lisa Weiß,w,SV Poseidon,2009
418,Emma Müller,m,Delphin 08,
419,Léa Dubois,m,SV Delphin,
420,Zoë Schmidt,w,Wasserfreunde,
421,Jiří Novák,m,SV Delphin,
422,Clàra Méndez,m,SV Poseidon,2008
423,Clàra Méndez,m,Delphin 08,
424,Lisa Weiß,w,Neptun Köln,2012
425,Chloé Lemoine,w,TSV Schwimmclub,2012
426,Maximilian,w,Delphin 08,2008
427,Noah Zhang,w,Wasserfreunde,2010
428,Lina Schneider,w,Delphin 08,2008
429,Emma-Maria Krüger,m,,
430,José García,m,Neptun Köln,2009
431,Noah Zhang,m,Neptun Köln,
432,Mia Méndez,m,TSV Schwimmclub,2013
433,Lina Schneider,m,SV Delphin,2013
434,Tom O'Connor,w,SV Poseidon,
435,László Nagy,w,,
436,Noah Zhang,m,SV Delphin,
437,Noah Zhang,m,Wasserfreunde,
438,Paul Šimić,m,,2008
439,Jiří Novák,w,TSV Schwimmclub,2009
440,Chloé Lemoine,w,Delphin 08,
441,Maximilian,m,,2012
442,Emma-Maria Krüger,m,Neptun Köln,2006
443,Mia Méndez,m,SV Poseidon,
444,Anna-Lena Schneider,m,TSV Schwimmclub,
445,José García,w,SV Poseidon,2010
446,Emma Müller,w,SV Delphin,
447,Ben Müller,w,,2008
448,Chloé Lemoine,m,TSV Schwimmclub,
449,László Nagy,w,,
450,Tom O'Connor,w,Neptun Köln,2010
451,Tom O'Connor,m,Neptun Köln,
452,Clara Zhang,m,SV Poseidon,2006
453,Mia Méndez,w,Neptun Köln,2012
454,Lisa Weiß,m,,2013
455,Ole-Jørgen Berg,m,SV Poseidon,
456,Léa Dubois,w,Wasserfreunde,
457,Paul Šimić,w,SV Poseidon,2009
458,Paul Šimić,m,SV Delphin,2012
459,Paul Šimić,w,TSV Schwimmclub,2007
460,Paul Šimić,w,SV Delphin,2008
461,Paul Šimić,m,Delphin 08,
462,Emma Müller,w,,2010
463,Lina Schneider,w,Delphin 08,
464,Åsa Svensson,m,,2009
465,Zoë Schmidt,m,Delphin 08,
466,Maximilian,w,Delphin 08,
467,Chloé Lemoine,w,Delphin 08,2013
468,Anna-Lena Schneider,m,TSV Schwimmclub,
469,Clàra Méndez,w,SV Poseidon,2013
470,Tom O'Connor,m,TSV Schwimmclub,
471,Lisa Weiß,w,,2006
472,Lisa Weiß,w,SV Delphin,2007
473,Džesika Kalniņa,w,,
474,Zoë Schmidt,m,,
475,José García,m,Delphin 08,
476,Lina Schneider,w,Delphin 08,
477,László Nagy,m,TSV Schwimmclub,
478,Ole-Jørgen Berg,m,SV Delphin,2012
479,Ben Müller,w,Wasserfreunde,
480,Tim Méndez,w,,
481,Noah Zhang,w,SV Poseidon,
482,Noah Zhang,w,TSV Schwimmclub,
483,Maximilian,w,Delphin 08,
484,Emma Müller,m,SV Poseidon,
485,José García,m,,2010
486,Mia Méndez,w,SV Poseidon,2006
487,Léa Dubois,w,Wasserfreunde,
488,Tom O'Connor,m,,
489,Lina Schneider,m,SV Delphin,
490,Džesika Kalniņa,m,SV Poseidon,
491,Emma Müller,w,TSV Schwimmclub,2008
492,Lisa Weiß,w,,2008
493,László Nagy,m,Wasserfreunde,2006
494,Clàra Méndez,m,SV Delphin,
495,José García,w,Neptun Köln,
496,Anna-Lena Schneider,w,Wasserfreunde,2008
497,Ben Müller,m,,
498,Tim Méndez,w,TSV Schwimmclub,
499,Ben Müller,m,Wasserfreunde,
500,Clara Zhang,w,,2008
501,Léa Dubois,m,SV Poseidon,
502,Lina Schneider,m,Neptun Köln,
503,Chloé Lemoine,m,,
504,Lisa Weiß,m,SV Poseidon,2011
505,Léa Dubois,w,,
506,Tom O'Connor,m,,
507,Anna-Lena Schneider,m,TSV Schwimmclub,
508,Džesika Kalniņa,w,TSV Schwimmclub,2011
509,Mia Méndez,w,SV Delphin,2009
510,Clàra Méndez,w,Neptun Köln,2012
511,Lisa Weiß,w,,2007
512,Tom O'Connor,w,,2007
513,Anna-Lena Schneider,w,TSV Schwimmclub,2013
514,Zoë Schmidt,m,Neptun Köln,2008
515,Tim Méndez,m,SV Poseidon,
516,Mārtiņš Bērziņš,m,,2008
517,José García,w,Neptun Köln,2008
518,Maximilian,m,,
519,László Nagy,w,SV Poseidon,
520,Ole-Jørgen Berg,w,TSV Schwimmclub,2008
521,Anna-Lena Schneider,m,Neptun Köln,
522,Mia Méndez,m,TSV Schwimmclub,
523,László Nagy,w,Neptun Köln,2009
524,Clàra Méndez,w,,2011
525,Chloé Lemoine,m,TSV Schwimmclub,
526,Åsa Svensson,w,,2009
527,Clàra Méndez,m,SV Delphin,2007
528,Maximilian,m,TSV Schwimmclub,2008
529,José García,m,TSV Schwimmclub,
530,Mia Méndez,m,TSV Schwimmclub,
531,Mia Méndez,m,SV Delphin,2010
532,Paul Šimić,w,SV Poseidon,2006
533,Emma-Maria Krüger,w,,
534,László Nagy,m,Delphin 08,
535,José García,m,,
536,Tim Méndez,w,Neptun Köln,
537,Mārtiņš Bērziņš,m,SV Poseidon,
538,Lisa Weiß,w,Wasserfreunde,2008
539,Zoë Schmidt,m,Delphin 08,
540,Džesika Kalniņa,w,SV Poseidon,
541,Emma Müller,m,TSV Schwimmclub,2011
542,Lisa Weiß,m,SV Poseidon,
543,Anna-Lena Schneider,m,,2007
544,Jiří Novák,w,TSV Schwimmclub,
545,Maximilian,w,,2008
546,Ole-Jørgen Berg,m,Neptun Köln,
547,Lina Schneider,w,,2009
548,Zoë Schmidt,m,TSV Schwimmclub,
549,Lina Schneider,w,SV Delphin,2009
550,Lina Schneider,m,SV Delphin,
551,Clara Zhang,m,Neptun Köln,2008
552,Paul Šimić,m,SV Poseidon,
553,Emma-Maria Krüger,w,SV Delphin,
554,Tim Méndez,m,SV Delphin,2006
555,Maximilian,w,Delphin 08,2008
556,Léa Dubois,w,TSV Schwimmclub,2011
557,Åsa Svensson,w,,
558,Tom O'Connor,m,SV Delphin,2006
559,Mārtiņš Bērziņš,m,Delphin 08,2006
560,László Nagy,w,Delphin 08,2012
561,Clara Zhang,w,TSV Schwimmclub,2006
562,Chloé Lemoine,w,SV Poseidon,2013
563,Léa Dubois,m,TSV Schwimmclub,2009
564,Lina Schneider,m,SV Delphin,
565,Clara Zhang,m,SV Poseidon,2006
566,Clara Zhang,m,,
567,Lina Schneider,m,Neptun Köln,
568,László Nagy,w,SV Delphin,2013
569,Zoë Schmidt,w,Neptun Köln,
570,Tom O'Connor,m,Wasserfreunde,2012
571,Åsa Svensson,w,Delphin 08,2008
572,Ben Müller,w,Delphin 08,
573,László Nagy,m,SV Poseidon,
574,Léa Dubois,w,Wasserfreunde,2010
575,Clàra Méndez,w,Delphin 08,2006
576,Clàra Méndez,w,TSV Schwimmclub,2006
577,Léa Dubois,w,Wasserfreunde,2011
578,Maximilian,w,SV Poseidon,2010
579,Chloé Lemoine,w,Wasserfreunde,
580,Anna-Lena Schneider,m,TSV Schwimmclub,
581,Jiří Novák,m,TSV Schwimmclub,
582,Zoë Schmidt,m,,
583,Chloé Lemoine,w,SV Poseidon,
584,Chloé Lemoine,w,Delphin 08,
585,Clàra Méndez,m,,
586,Chloé Lemoine,m,SV Poseidon,2007
587,Tom O'Connor,w,SV Delphin,2009
588,Lina Schneider,m,SV Delphin,2012
589,Anna-Lena Schneider,m,Wasserfreunde,2013
590,Paul Šimić,m,Neptun Köln,
591,Anna-Lena Schneider,w,SV Poseidon,2006
592,Anna-Lena Schneider,w,Neptun Köln,
593,Lina Schneider,m,Delphin 08,2012
594,Chloé Lemoine,w,SV Poseidon,
595,Maximilian,m,Wasserfreunde,
596,Ole-Jørgen Berg,w,Wasserfreunde,2006
597,Emma Müller,w,,2006
598,Ben Müller,w,Neptun Köln,
599,Tim Méndez,m,SV Poseidon,
600,Ole-Jørgen Berg,m,Neptun Köln,2007
601,Zoë Schmidt,w,TSV Schwimmclub,
602,Léa Dubois,w,Neptun Köln,2011
603,Lina Schneider,w,SV Poseidon,
604,Clara Zhang,m,SV Poseidon,
605,László Nagy,m,,2010
606,Tim Méndez,m,SV Delphin,
607,Emma-Maria Krüger,m,SV Poseidon,
608,José García,w,,2011
609,Léa Dubois,w,Neptun Köln,2010
610,Chloé Lemoine,w,TSV Schwimmclub,
611,Chloé Lemoine,w,Delphin 08,
612,Lisa Weiß,w,,2007
613,José García,w,Delphin 08,
614,Tim Méndez,m,SV Poseidon,2013
615,José García,w,,2008
616,Mārtiņš Bērziņš,w,SV Poseidon,
617,Lisa Weiß,w,Wasserfreunde,
618,Maximilian,w,Delphin 08,
619,Maximilian,m,Neptun Köln,2009
620,Åsa Svensson,m,,
621,Léa Dubois,w,TSV Schwimmclub,2006
622,László Nagy,w,Wasserfreunde,
623,Anna-Lena Schneider,w,Neptun Köln,2007
624,Paul Šimić,w,SV Poseidon,
625,Mārtiņš Bērziņš,w,Wasserfreunde,2010
626,Džesika Kalniņa,w,TSV Schwimmclub,
627,Emma Müller,w,SV Delphin,2010
628,Jiří Novák,m,TSV Schwimmclub,
629,László Nagy,w,SV Delphin,2006
630,Tim Méndez,w,TSV Schwimmclub,
631,Emma-Maria Krüger,m,,2007
632,Mārtiņš Bērziņš,w,,2009
633,Tom O'Connor,m,SV Delphin,
634,Åsa Svensson,w,SV Poseidon,
635,Clara Zhang,w,Neptun Köln,2011
636,Noah Zhang,w,Delphin 08,2008
637,Clara Zhang,w,Wasserfreunde,
638,Åsa Svensson,m,TSV Schwimmclub,
639,Åsa Svensson,w,Wasserfreunde,2007
